date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2002185,2002-07-04,MCD15A3H,Fpar_500m,0.4100,0.7100,4.3300,0.3000,0.5412,0.0187,0.1367,25,8,32.00
A2002189,2002-07-08,MCD15A3H,Fpar_500m,0.8300,0.9400,21.4200,0.1100,0.8925,0.0009,0.0293,25,24,96.00
A2002193,2002-07-12,MCD15A3H,Fpar_500m,0.6800,0.9400,6.8200,0.2600,0.8525,0.0063,0.0792,25,8,32.00
A2002197,2002-07-16,MCD15A3H,Fpar_500m,0.2400,0.2400,0.4800,0.0000,0.2400,0.0000,0.0000,25,2,8.00
A2002201,2002-07-20,MCD15A3H,Fpar_500m,0.6900,0.9500,20.2300,0.2600,0.8796,0.0029,0.0535,25,23,92.00
A2002205,2002-07-24,MCD15A3H,Fpar_500m,0.2000,0.2500,1.3900,0.0500,0.2317,0.0004,0.0203,25,6,24.00
A2002209,2002-07-28,MCD15A3H,Fpar_500m,0.6200,0.9500,18.4000,0.3300,0.8762,0.0044,0.0663,25,21,84.00
A2002217,2002-08-05,MCD15A3H,Fpar_500m,0.7400,0.8900,3.4000,0.1500,0.8500,0.0040,0.0636,25,4,16.00
A2002221,2002-08-09,MCD15A3H,Fpar_500m,0.3300,0.8800,3.9800,0.5500,0.4975,0.0357,0.1890,25,8,32.00
A2002225,2002-08-13,MCD15A3H,Fpar_500m,0.4700,0.9100,13.9500,0.4400,0.6341,0.0195,0.1397,25,22,88.00
A2002229,2002-08-17,MCD15A3H,Fpar_500m,0.7100,0.9500,21.5500,0.2400,0.8620,0.0049,0.0699,25,25,100.00
A2002233,2002-08-21,MCD15A3H,Fpar_500m,0.6000,0.9100,20.7400,0.3100,0.8296,0.0073,0.0853,25,25,100.00
A2002237,2002-08-25,MCD15A3H,Fpar_500m,0.6400,0.9400,20.9800,0.3000,0.8392,0.0044,0.0663,25,25,100.00
A2002241,2002-08-29,MCD15A3H,Fpar_500m,0.1300,0.9600,11.8100,0.8300,0.5624,0.1203,0.3469,25,21,84.00
A2002245,2002-09-02,MCD15A3H,Fpar_500m,0.3600,0.9300,20.7100,0.5700,0.8284,0.0186,0.1362,25,25,100.00
A2002249,2002-09-06,MCD15A3H,Fpar_500m,0.5300,0.9500,21.5200,0.4200,0.8608,0.0080,0.0895,25,25,100.00
A2002253,2002-09-10,MCD15A3H,Fpar_500m,0.6800,0.9600,21.1500,0.2800,0.8460,0.0036,0.0599,25,25,100.00
A2002257,2002-09-14,MCD15A3H,Fpar_500m,0.3700,0.5000,3.1400,0.1300,0.4486,0.0019,0.0432,25,7,28.00
A2002261,2002-09-18,MCD15A3H,Fpar_500m,0.3500,0.3600,0.7100,0.0100,0.3550,0.0000,0.0050,25,2,8.00
A2002265,2002-09-22,MCD15A3H,Fpar_500m,0.4400,0.7100,12.1200,0.2700,0.5509,0.0046,0.0681,25,22,88.00
A2002269,2002-09-26,MCD15A3H,Fpar_500m,0.1500,0.2800,2.3800,0.1300,0.2380,0.0019,0.0431,25,10,40.00
A2002273,2002-09-30,MCD15A3H,Fpar_500m,0.5900,0.8700,18.9200,0.2800,0.7568,0.0037,0.0610,25,25,100.00
A2002277,2002-10-04,MCD15A3H,Fpar_500m,0.1900,0.5300,8.0700,0.3400,0.3668,0.0109,0.1045,25,22,88.00
A2002281,2002-10-08,MCD15A3H,Fpar_500m,0.2500,0.4900,9.6500,0.2400,0.3860,0.0037,0.0610,25,25,100.00
A2002285,2002-10-12,MCD15A3H,Fpar_500m,0.6700,0.9400,11.7300,0.2700,0.7820,0.0050,0.0708,25,15,60.00
A2002289,2002-10-16,MCD15A3H,Fpar_500m,0.2100,0.4200,0.6300,0.2100,0.3150,0.0110,0.1050,25,2,8.00
A2002293,2002-10-20,MCD15A3H,Fpar_500m,0.2500,0.8100,14.6200,0.5600,0.6357,0.0154,0.1241,25,23,92.00
A2002297,2002-10-24,MCD15A3H,Fpar_500m,0.3900,0.7500,15.1800,0.3600,0.6072,0.0126,0.1124,25,25,100.00
A2002301,2002-10-28,MCD15A3H,Fpar_500m,0.2100,0.6400,12.1100,0.4300,0.4844,0.0132,0.1150,25,25,100.00
A2002305,2002-11-01,MCD15A3H,Fpar_500m,0.2500,0.4100,7.6900,0.1600,0.3343,0.0020,0.0448,25,23,92.00
A2002309,2002-11-05,MCD15A3H,Fpar_500m,0.4400,0.7500,14.5000,0.3100,0.5800,0.0112,0.1060,25,25,100.00
A2002313,2002-11-09,MCD15A3H,Fpar_500m,0.3400,0.5800,10.7600,0.2400,0.4304,0.0056,0.0746,25,25,100.00
A2002317,2002-11-13,MCD15A3H,Fpar_500m,0.0900,0.0900,0.0900,0.0000,0.0900,0.0000,0.0000,25,1,4.00
A2002321,2002-11-17,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002325,2002-11-21,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002329,2002-11-25,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002333,2002-11-29,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002337,2002-12-03,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002341,2002-12-07,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002345,2002-12-11,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002349,2002-12-15,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002353,2002-12-19,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002357,2002-12-23,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002361,2002-12-27,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002365,2002-12-31,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003001,2003-01-01,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003005,2003-01-05,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003009,2003-01-09,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003013,2003-01-13,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003017,2003-01-17,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003021,2003-01-21,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003025,2003-01-25,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003029,2003-01-29,MCD15A3H,Fpar_500m,0.1000,0.1900,0.5900,0.0900,0.1475,0.0010,0.0319,25,4,16.00
A2003033,2003-02-02,MCD15A3H,Fpar_500m,0.0900,0.8900,6.1400,0.8000,0.4386,0.0358,0.1893,25,14,56.00
A2003037,2003-02-06,MCD15A3H,Fpar_500m,0.0900,0.4100,2.6500,0.3200,0.3312,0.0105,0.1026,25,8,32.00
A2003041,2003-02-10,MCD15A3H,Fpar_500m,0.0900,0.4900,8.5700,0.4000,0.3726,0.0094,0.0970,25,23,92.00
A2003045,2003-02-14,MCD15A3H,Fpar_500m,0.0900,0.8000,11.3100,0.7100,0.5386,0.0355,0.1885,25,21,84.00
A2003049,2003-02-18,MCD15A3H,Fpar_500m,0.0900,0.8100,10.2300,0.7200,0.4650,0.0319,0.1786,25,22,88.00
A2003053,2003-02-22,MCD15A3H,Fpar_500m,0.0900,0.7800,13.4300,0.6900,0.5372,0.0437,0.2092,25,25,100.00
A2003057,2003-02-26,MCD15A3H,Fpar_500m,0.0900,0.7400,12.4300,0.6500,0.4972,0.0335,0.1830,25,25,100.00
A2003061,2003-03-02,MCD15A3H,Fpar_500m,0.2500,0.5500,6.6200,0.3000,0.3894,0.0082,0.0908,25,17,68.00
A2003065,2003-03-06,MCD15A3H,Fpar_500m,0.0900,0.2700,1.0100,0.1800,0.2020,0.0036,0.0601,25,5,20.00
A2003069,2003-03-10,MCD15A3H,Fpar_500m,0.2600,0.6800,13.1800,0.4200,0.5272,0.0144,0.1199,25,25,100.00
A2003073,2003-03-14,MCD15A3H,Fpar_500m,0.2800,0.6500,12.1500,0.3700,0.4860,0.0125,0.1117,25,25,100.00
A2003077,2003-03-18,MCD15A3H,Fpar_500m,0.2600,0.6600,12.9000,0.4000,0.5160,0.0137,0.1171,25,25,100.00
A2003081,2003-03-22,MCD15A3H,Fpar_500m,0.2600,0.6300,12.5100,0.3700,0.5004,0.0118,0.1085,25,25,100.00
A2003085,2003-03-26,MCD15A3H,Fpar_500m,0.3400,0.7200,13.2300,0.3800,0.5292,0.0129,0.1134,25,25,100.00
A2003089,2003-03-30,MCD15A3H,Fpar_500m,0.2700,0.7200,11.6300,0.4500,0.4652,0.0103,0.1014,25,25,100.00
A2003093,2003-04-03,MCD15A3H,Fpar_500m,0.3300,0.6800,12.9100,0.3500,0.5164,0.0118,0.1086,25,25,100.00
A2003097,2003-04-07,MCD15A3H,Fpar_500m,0.2200,0.5900,10.3900,0.3700,0.4156,0.0065,0.0808,25,25,100.00
A2003101,2003-04-11,MCD15A3H,Fpar_500m,0.3700,0.7200,14.0300,0.3500,0.5612,0.0126,0.1123,25,25,100.00
A2003105,2003-04-15,MCD15A3H,Fpar_500m,0.3900,0.6700,13.3600,0.2800,0.5344,0.0100,0.0998,25,25,100.00
A2003109,2003-04-19,MCD15A3H,Fpar_500m,0.3900,0.6600,13.9000,0.2700,0.5560,0.0112,0.1060,25,25,100.00
A2003113,2003-04-23,MCD15A3H,Fpar_500m,0.4200,0.7400,14.7300,0.3200,0.5892,0.0110,0.1050,25,25,100.00
A2003117,2003-04-27,MCD15A3H,Fpar_500m,0.1600,0.6200,8.9600,0.4600,0.3896,0.0115,0.1071,25,23,92.00
A2003121,2003-05-01,MCD15A3H,Fpar_500m,0.4100,0.9200,17.8400,0.5100,0.7136,0.0170,0.1303,25,25,100.00
A2003125,2003-05-05,MCD15A3H,Fpar_500m,0.6600,0.8800,19.1800,0.2200,0.7672,0.0033,0.0576,25,25,100.00
A2003129,2003-05-09,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003133,2003-05-13,MCD15A3H,Fpar_500m,0.3400,0.8000,7.4200,0.4600,0.5708,0.0296,0.1722,25,13,52.00
A2003137,2003-05-17,MCD15A3H,Fpar_500m,0.4800,0.7900,13.8500,0.3100,0.6295,0.0062,0.0785,25,22,88.00
A2003141,2003-05-21,MCD15A3H,Fpar_500m,0.5900,0.9200,19.0000,0.3300,0.8261,0.0082,0.0905,25,23,92.00
A2003145,2003-05-25,MCD15A3H,Fpar_500m,0.8000,0.9500,8.0400,0.1500,0.8933,0.0023,0.0481,25,9,36.00
A2003149,2003-05-29,MCD15A3H,Fpar_500m,0.6500,0.9400,18.4000,0.2900,0.8762,0.0067,0.0819,25,21,84.00
A2003153,2003-06-02,MCD15A3H,Fpar_500m,0.5300,0.9300,16.9300,0.4000,0.8465,0.0072,0.0850,25,20,80.00
A2003157,2003-06-06,MCD15A3H,Fpar_500m,0.7000,0.9500,13.8700,0.2500,0.8669,0.0036,0.0602,25,16,64.00
A2003161,2003-06-10,MCD15A3H,Fpar_500m,0.3200,0.8800,13.1200,0.5600,0.6248,0.0270,0.1644,25,21,84.00
A2003165,2003-06-14,MCD15A3H,Fpar_500m,0.7200,0.9400,19.0200,0.2200,0.8645,0.0030,0.0547,25,22,88.00
A2003169,2003-06-18,MCD15A3H,Fpar_500m,0.1800,0.9200,6.4000,0.7400,0.7111,0.0583,0.2414,25,9,36.00
A2003173,2003-06-22,MCD15A3H,Fpar_500m,0.5800,0.9500,20.0000,0.3700,0.8000,0.0097,0.0983,25,25,100.00
A2003177,2003-06-26,MCD15A3H,Fpar_500m,0.6000,0.9500,12.9300,0.3500,0.8620,0.0093,0.0967,25,15,60.00
A2003181,2003-06-30,MCD15A3H,Fpar_500m,0.3500,0.8300,10.9400,0.4800,0.5470,0.0137,0.1169,25,20,80.00
A2003185,2003-07-04,MCD15A3H,Fpar_500m,0.2100,0.4100,5.0600,0.2000,0.2976,0.0045,0.0670,25,17,68.00
A2003189,2003-07-08,MCD15A3H,Fpar_500m,0.2500,0.6100,2.6900,0.3600,0.3843,0.0121,0.1102,25,7,28.00
A2003193,2003-07-12,MCD15A3H,Fpar_500m,0.3300,0.9400,19.5900,0.6100,0.8162,0.0400,0.2000,25,24,96.00
A2003197,2003-07-16,MCD15A3H,Fpar_500m,0.3200,0.9600,16.9100,0.6400,0.7352,0.0302,0.1738,25,23,92.00
A2003201,2003-07-20,MCD15A3H,Fpar_500m,0.6200,0.9600,19.3300,0.3400,0.7732,0.0166,0.1289,25,25,100.00
A2003205,2003-07-24,MCD15A3H,Fpar_500m,0.2500,0.9400,13.4900,0.6900,0.7494,0.0455,0.2133,25,18,72.00
A2003209,2003-07-28,MCD15A3H,Fpar_500m,0.6300,0.8800,20.0500,0.2500,0.8354,0.0025,0.0502,25,24,96.00
A2003213,2003-08-01,MCD15A3H,Fpar_500m,0.6000,0.9200,19.8700,0.3200,0.8279,0.0088,0.0940,25,24,96.00
A2003217,2003-08-05,MCD15A3H,Fpar_500m,0.6600,0.9400,20.9800,0.2800,0.8392,0.0029,0.0541,25,25,100.00
A2003221,2003-08-09,MCD15A3H,Fpar_500m,0.6500,0.9400,21.4600,0.2900,0.8584,0.0048,0.0690,25,25,100.00
A2003225,2003-08-13,MCD15A3H,Fpar_500m,0.5400,0.8800,17.6800,0.3400,0.7072,0.0108,0.1038,25,25,100.00
A2003229,2003-08-17,MCD15A3H,Fpar_500m,0.6300,0.9200,19.8700,0.2900,0.7948,0.0080,0.0894,25,25,100.00
A2003233,2003-08-21,MCD15A3H,Fpar_500m,0.4100,0.9500,18.3500,0.5400,0.7340,0.0248,0.1575,25,25,100.00
A2003237,2003-08-25,MCD15A3H,Fpar_500m,0.4900,0.9500,18.0300,0.4600,0.7839,0.0155,0.1244,25,23,92.00
A2003241,2003-08-29,MCD15A3H,Fpar_500m,0.1500,0.2800,1.7700,0.1300,0.1967,0.0023,0.0481,25,9,36.00
A2003245,2003-09-02,MCD15A3H,Fpar_500m,0.4300,0.8700,13.7200,0.4400,0.5965,0.0178,0.1336,25,23,92.00
A2003249,2003-09-06,MCD15A3H,Fpar_500m,0.4300,0.9300,20.4500,0.5000,0.8180,0.0107,0.1035,25,25,100.00
A2003253,2003-09-10,MCD15A3H,Fpar_500m,0.2100,0.5800,2.8600,0.3700,0.4086,0.0106,0.1032,25,7,28.00
A2003257,2003-09-14,MCD15A3H,Fpar_500m,0.6200,0.9500,21.0400,0.3300,0.8416,0.0044,0.0663,25,25,100.00
A2003261,2003-09-18,MCD15A3H,Fpar_500m,0.5200,0.9400,20.9800,0.4200,0.8392,0.0073,0.0856,25,25,100.00
A2003265,2003-09-22,MCD15A3H,Fpar_500m,0.4100,0.8600,19.0900,0.4500,0.7636,0.0098,0.0992,25,25,100.00
A2003269,2003-09-26,MCD15A3H,Fpar_500m,0.5600,0.9400,20.5100,0.3800,0.8204,0.0099,0.0993,25,25,100.00
A2003273,2003-09-30,MCD15A3H,Fpar_500m,0.1800,0.1800,0.1800,0.0000,0.1800,0.0000,0.0000,25,1,4.00
A2003277,2003-10-04,MCD15A3H,Fpar_500m,0.1800,0.9000,13.1900,0.7200,0.6595,0.0391,0.1976,25,20,80.00
A2003281,2003-10-08,MCD15A3H,Fpar_500m,0.3500,0.9000,15.0300,0.5500,0.6262,0.0224,0.1496,25,24,96.00
A2003285,2003-10-12,MCD15A3H,Fpar_500m,0.1800,0.7400,11.0800,0.5600,0.5036,0.0164,0.1279,25,22,88.00
A2003289,2003-10-16,MCD15A3H,Fpar_500m,0.4500,0.8800,18.4300,0.4300,0.7372,0.0105,0.1022,25,25,100.00
A2003293,2003-10-20,MCD15A3H,Fpar_500m,0.2900,0.8100,14.2100,0.5200,0.5684,0.0321,0.1791,25,25,100.00
A2003297,2003-10-24,MCD15A3H,Fpar_500m,0.3200,0.6100,11.2100,0.2900,0.4484,0.0053,0.0727,25,25,100.00
A2003301,2003-10-28,MCD15A3H,Fpar_500m,0.3800,0.8000,16.9700,0.4200,0.6788,0.0111,0.1051,25,25,100.00
A2003305,2003-11-01,MCD15A3H,Fpar_500m,0.0900,0.4500,6.7100,0.3600,0.2917,0.0087,0.0935,25,23,92.00
A2003309,2003-11-05,MCD15A3H,Fpar_500m,0.3600,0.7600,14.1700,0.4000,0.5668,0.0084,0.0916,25,25,100.00
A2003313,2003-11-09,MCD15A3H,Fpar_500m,0.2700,0.7200,12.8900,0.4500,0.5156,0.0144,0.1200,25,25,100.00
A2003317,2003-11-13,MCD15A3H,Fpar_500m,0.2500,0.7400,12.9500,0.4900,0.5180,0.0187,0.1366,25,25,100.00
A2003321,2003-11-17,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003325,2003-11-21,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003329,2003-11-25,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003333,2003-11-29,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003337,2003-12-03,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003341,2003-12-07,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003345,2003-12-11,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003349,2003-12-15,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003357,2003-12-23,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003361,2003-12-27,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2003365,2003-12-31,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2004001,2004-01-01,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2004005,2004-01-05,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2004009,2004-01-09,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2004013,2004-01-13,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2004017,2004-01-17,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2004021,2004-01-21,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2004025,2004-01-25,MCD15A3H,Fpar_500m,0.2300,0.3000,1.9000,0.0700,0.2714,0.0008,0.0275,25,7,28.00
A2004029,2004-01-29,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2004033,2004-02-02,MCD15A3H,Fpar_500m,0.0900,0.3100,6.2700,0.2200,0.2508,0.0027,0.0520,25,25,100.00
A2004037,2004-02-06,MCD15A3H,Fpar_500m,0.0800,0.2700,0.5200,0.1900,0.1300,0.0066,0.0809,25,4,16.00
A2004041,2004-02-10,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2004045,2004-02-14,MCD15A3H,Fpar_500m,0.0800,0.4200,4.4700,0.3400,0.2129,0.0035,0.0592,25,21,84.00
A2004049,2004-02-18,MCD15A3H,Fpar_500m,0.2600,0.7600,14.7800,0.5000,0.5912,0.0200,0.1415,25,25,100.00
A2004053,2004-02-22,MCD15A3H,Fpar_500m,0.2100,0.6800,10.6300,0.4700,0.4622,0.0158,0.1257,25,23,92.00
A2004057,2004-02-26,MCD15A3H,Fpar_500m,0.0900,0.3500,3.7900,0.2600,0.2229,0.0043,0.0659,25,17,68.00
A2004061,2004-03-01,MCD15A3H,Fpar_500m,0.0800,0.7400,2.7900,0.6600,0.2146,0.0262,0.1619,25,13,52.00
A2004065,2004-03-05,MCD15A3H,Fpar_500m,0.1500,0.8300,11.4700,0.6800,0.4779,0.0373,0.1931,25,24,96.00
A2004069,2004-03-09,MCD15A3H,Fpar_500m,0.2600,0.6700,10.7700,0.4100,0.4683,0.0194,0.1394,25,23,92.00
A2004073,2004-03-13,MCD15A3H,Fpar_500m,0.2500,0.6800,13.1300,0.4300,0.5252,0.0163,0.1275,25,25,100.00
A2004077,2004-03-17,MCD15A3H,Fpar_500m,0.2900,0.6700,13.6200,0.3800,0.5448,0.0131,0.1145,25,25,100.00
A2004081,2004-03-21,MCD15A3H,Fpar_500m,0.3500,0.7200,14.6100,0.3700,0.5844,0.0150,0.1224,25,25,100.00
A2004085,2004-03-25,MCD15A3H,Fpar_500m,0.0700,0.0700,0.1400,0.0000,0.0700,0.0000,0.0000,25,2,8.00
A2004089,2004-03-29,MCD15A3H,Fpar_500m,0.3800,0.7300,14.3500,0.3500,0.5740,0.0121,0.1099,25,25,100.00
A2004093,2004-04-02,MCD15A3H,Fpar_500m,0.3700,0.7400,13.7900,0.3700,0.5516,0.0112,0.1060,25,25,100.00
A2004097,2004-04-06,MCD15A3H,Fpar_500m,0.0700,0.6200,4.8100,0.5500,0.4008,0.0313,0.1768,25,12,48.00
A2004101,2004-04-10,MCD15A3H,Fpar_500m,0.1800,0.7200,10.5500,0.5400,0.4220,0.0228,0.1508,25,25,100.00
A2004105,2004-04-14,MCD15A3H,Fpar_500m,0.4200,0.7400,14.5500,0.3200,0.5820,0.0132,0.1147,25,25,100.00
A2004109,2004-04-18,MCD15A3H,Fpar_500m,0.2600,0.7900,8.5300,0.5300,0.3877,0.0269,0.1641,25,22,88.00
A2004113,2004-04-22,MCD15A3H,Fpar_500m,0.2300,0.4100,8.3400,0.1800,0.3336,0.0030,0.0543,25,25,100.00
A2004117,2004-04-26,MCD15A3H,Fpar_500m,0.5400,0.8500,17.6300,0.3100,0.7052,0.0084,0.0915,25,25,100.00
A2004121,2004-04-30,MCD15A3H,Fpar_500m,0.6300,0.9600,18.6900,0.3300,0.7476,0.0071,0.0843,25,25,100.00
A2004125,2004-05-04,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2004129,2004-05-08,MCD15A3H,Fpar_500m,0.2500,0.2500,0.2500,0.0000,0.2500,0.0000,0.0000,25,1,4.00
A2004133,2004-05-12,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2004137,2004-05-16,MCD15A3H,Fpar_500m,0.6300,0.9100,19.2700,0.2800,0.8378,0.0055,0.0740,25,23,92.00
A2004141,2004-05-20,MCD15A3H,Fpar_500m,0.4600,0.4600,0.4600,0.0000,0.4600,0.0000,0.0000,25,1,4.00
A2004145,2004-05-24,MCD15A3H,Fpar_500m,0.4400,0.5700,1.0100,0.1300,0.5050,0.0042,0.0650,25,2,8.00
A2004149,2004-05-28,MCD15A3H,Fpar_500m,0.7600,0.9400,20.4800,0.1800,0.8533,0.0025,0.0496,25,24,96.00
A2004153,2004-06-01,MCD15A3H,Fpar_500m,0.4200,0.4900,5.5300,0.0700,0.4608,0.0006,0.0240,25,12,48.00
A2004157,2004-06-05,MCD15A3H,Fpar_500m,0.2300,0.9200,15.8400,0.6900,0.6887,0.0416,0.2038,25,23,92.00
A2004161,2004-06-09,MCD15A3H,Fpar_500m,0.4800,0.9000,9.5200,0.4200,0.6347,0.0179,0.1338,25,15,60.00
A2004165,2004-06-13,MCD15A3H,Fpar_500m,0.7700,0.9300,18.2700,0.1600,0.8700,0.0014,0.0379,25,21,84.00
A2004169,2004-06-17,MCD15A3H,Fpar_500m,0.4600,0.9400,8.8900,0.4800,0.6838,0.0295,0.1718,25,13,52.00
A2004173,2004-06-21,MCD15A3H,Fpar_500m,0.4900,0.9300,5.5400,0.4400,0.6925,0.0226,0.1504,25,8,32.00
A2004177,2004-06-25,MCD15A3H,Fpar_500m,0.2900,0.8800,8.3400,0.5900,0.5957,0.0509,0.2256,25,14,56.00
A2004181,2004-06-29,MCD15A3H,Fpar_500m,0.3300,0.9100,5.9000,0.5800,0.4917,0.0232,0.1522,25,12,48.00
A2004185,2004-07-03,MCD15A3H,Fpar_500m,0.2200,0.8900,10.9800,0.6700,0.5490,0.0522,0.2285,25,20,80.00
A2004189,2004-07-07,MCD15A3H,Fpar_500m,0.4500,0.8600,11.2500,0.4100,0.6618,0.0160,0.1265,25,17,68.00
A2004193,2004-07-11,MCD15A3H,Fpar_500m,0.3000,0.9500,14.7600,0.6500,0.8200,0.0371,0.1927,25,18,72.00
A2004197,2004-07-15,MCD15A3H,Fpar_500m,0.6900,0.9200,16.9100,0.2300,0.8455,0.0022,0.0464,25,20,80.00
A2004201,2004-07-19,MCD15A3H,Fpar_500m,0.5800,0.9100,20.1200,0.3300,0.8048,0.0076,0.0871,25,25,100.00
A2004205,2004-07-23,MCD15A3H,Fpar_500m,0.5500,0.9300,17.9600,0.3800,0.7809,0.0091,0.0951,25,23,92.00
A2004209,2004-07-27,MCD15A3H,Fpar_500m,0.5100,0.8900,20.6900,0.3800,0.8276,0.0061,0.0779,25,25,100.00
A2004213,2004-07-31,MCD15A3H,Fpar_500m,0.4800,0.8600,16.9900,0.3800,0.6796,0.0172,0.1313,25,25,100.00
A2004217,2004-08-04,MCD15A3H,Fpar_500m,0.6800,0.9400,21.7900,0.2600,0.8716,0.0023,0.0476,25,25,100.00
A2004221,2004-08-08,MCD15A3H,Fpar_500m,0.6400,0.9600,21.1500,0.3200,0.8460,0.0045,0.0668,25,25,100.00
A2004225,2004-08-12,MCD15A3H,Fpar_500m,0.2000,0.9600,15.1200,0.7600,0.6574,0.0588,0.2426,25,23,92.00
A2004229,2004-08-16,MCD15A3H,Fpar_500m,0.4200,0.9300,15.1500,0.5100,0.7575,0.0178,0.1336,25,20,80.00
A2004233,2004-08-20,MCD15A3H,Fpar_500m,0.2400,0.9200,10.0900,0.6800,0.5606,0.0862,0.2935,25,18,72.00
A2004237,2004-08-24,MCD15A3H,Fpar_500m,0.1100,0.5400,4.9300,0.4300,0.2143,0.0092,0.0959,25,23,92.00
A2004241,2004-08-28,MCD15A3H,Fpar_500m,0.2000,0.9600,7.2600,0.7600,0.5186,0.0571,0.2390,25,14,56.00
A2004245,2004-09-01,MCD15A3H,Fpar_500m,0.5700,0.9400,20.9100,0.3700,0.8364,0.0062,0.0784,25,25,100.00
A2004249,2004-09-05,MCD15A3H,Fpar_500m,0.5100,0.9000,20.5300,0.3900,0.8212,0.0082,0.0906,25,25,100.00
A2004253,2004-09-09,MCD15A3H,Fpar_500m,0.5500,0.8700,19.5700,0.3200,0.7828,0.0057,0.0754,25,25,100.00
A2004257,2004-09-13,MCD15A3H,Fpar_500m,0.2800,0.8700,12.9100,0.5900,0.5379,0.0281,0.1676,25,24,96.00
A2004261,2004-09-17,MCD15A3H,Fpar_500m,0.5600,0.9500,19.8600,0.3900,0.7944,0.0101,0.1005,25,25,100.00
A2004265,2004-09-21,MCD15A3H,Fpar_500m,0.3200,0.7500,9.1800,0.4300,0.5100,0.0105,0.1026,25,18,72.00
A2004269,2004-09-25,MCD15A3H,Fpar_500m,0.1300,0.2100,0.8200,0.0800,0.1640,0.0007,0.0258,25,5,20.00
A2004273,2004-09-29,MCD15A3H,Fpar_500m,0.2700,0.8300,9.5900,0.5600,0.6850,0.0167,0.1293,25,14,56.00
A2004277,2004-10-03,MCD15A3H,Fpar_500m,0.5400,0.9400,20.0200,0.4000,0.8008,0.0077,0.0876,25,25,100.00
A2004281,2004-10-07,MCD15A3H,Fpar_500m,0.4800,0.8600,16.2200,0.3800,0.6488,0.0101,0.1004,25,25,100.00
A2004285,2004-10-11,MCD15A3H,Fpar_500m,0.5600,0.8400,17.6900,0.2800,0.7076,0.0068,0.0825,25,25,100.00
A2004289,2004-10-15,MCD15A3H,Fpar_500m,0.0900,0.3500,1.2300,0.2600,0.2460,0.0082,0.0907,25,5,20.00
A2004293,2004-10-19,MCD15A3H,Fpar_500m,0.4600,0.8100,17.4700,0.3500,0.6988,0.0077,0.0878,25,25,100.00
A2004297,2004-10-23,MCD15A3H,Fpar_500m,0.3500,0.6800,13.6300,0.3300,0.5452,0.0077,0.0878,25,25,100.00
A2004301,2004-10-27,MCD15A3H,Fpar_500m,0.4700,0.7000,6.2100,0.2300,0.6210,0.0075,0.0864,25,10,40.00
